Model,RMSE (×100) (h=1),MAD (×100) (h=1),MAE (×100) (h=1),R^2 (h=1),RMSE (×100) (h=3),MAD (×100) (h=3),MAE (×100) (h=3),R^2 (h=3),RMSE (×100) (h=6),MAD (×100) (h=6),MAE (×100) (h=6),R^2 (h=6),RMSE (×100) (h=9),MAD (×100) (h=9),MAE (×100) (h=9),R^2 (h=9)
ARIMA,"0.3064
(0.1422)","0.1917
(0.0868)","0.2506
(0.1194)","0.0383
(0.2155)","0.3041
(0.1456)","0.2133
(0.0971)","0.2536
(0.1057)","0.0623
(0.1578)","0.3029
(0.1351)","0.2246
(0.0949)","0.2571
(0.0984)","0.0711
(0.1492)","0.3045
(0.1237)","0.2247
(0.1206)","0.2574
(0.0985)","0.0671
(0.1093)"
GBM,"0.2747
(0.1097)","0.2157
(0.0714)","0.2341
(0.0924)","0.3040
(0.2768)","0.2770
(0.0876)","0.2067
(0.1083)","0.2248
(0.0711)","0.1074
(0.2058)","0.2845
(0.0871)","0.2094
(0.0909)","0.2322
(0.0688)","0.1619
(0.2610)","0.2710
(0.1066)","0.2182
(0.0746)","0.2356
(0.0679)","0.1822
(0.2783)"
XGBoost,"0.2941
(0.0902)","0.2260
(0.1083)","0.2389
(0.0806)","0.2778
(0.2237)","0.2709
(0.0742)","0.2000
(0.0538)","0.2204
(0.0473)","0.1618
(0.2811)","0.2616
(0.0812)","0.1992
(0.0677)","0.2196
(0.0634)","0.2588
(0.3608)","0.2782
(0.1022)","0.2179
(0.0654)","0.2394
(0.0680)","0.2171
(0.2611)"
CatBoost,"0.2733
(0.0916)","0.1963
(0.0939)","0.2251
(0.0837)","0.3366
(0.1380)","0.2688
(0.0979)","0.2050
(0.0945)","0.2267
(0.0673)","0.1545
(0.2198)","0.2725
(0.0746)","0.2129
(0.0590)","0.2220
(0.0536)","0.2373
(0.2681)","0.2965
(0.0852)","0.2274
(0.0805)","0.2398
(0.0794)","0.1495
(0.3201)"
Random Forest,"0.2770
(0.0984)","0.1962
(0.0792)","0.2250
(0.0883)","0.3286
(0.1554)","0.2712
(0.0981)","0.2151
(0.0746)","0.2249
(0.0600)","0.2317
(0.2013)","0.2637
(0.0951)","0.2109
(0.0464)","0.2215
(0.0632)","0.2733
(0.2831)","0.2837
(0.0765)","0.2146
(0.0462)","0.2408
(0.0691)","0.2026
(0.2573)"
LightGBM,"0.2980
(0.1250)","0.2495
(0.0750)","0.2584
(0.0941)","0.1703
(0.1420)","0.3108
(0.0860)","0.2283
(0.0935)","0.2604
(0.0642)","0.0657
(0.5722)","0.3018
(0.0972)","0.2109
(0.1279)","0.2421
(0.0858)","0.1658
(0.2998)","0.2881
(0.1113)","0.1871
(0.1054)","0.2339
(0.0931)","0.2074
(0.5465)"
